iter	Logloss
2118	0.09832876424
2119	0.09831206524
2120	0.09829711015
2121	0.09826604032
2122	0.09826029171
2123	0.0982390954
2124	0.09821564142
2125	0.09819016004
2126	0.09816611022
2127	0.09814985776
2128	0.09814362716
2129	0.09811840002
2130	0.0981014231
2131	0.0980764422
2132	0.09807134365
2133	0.09804869636
2134	0.09799936895
2135	0.09794987672
2136	0.09790051193
2137	0.09786039982
2138	0.09783397983
2139	0.097811289
2140	0.09776716978
2141	0.09774574059
2142	0.09772022005
2143	0.09769990931
2144	0.097681837
2145	0.0976577517
2146	0.09762809294
2147	0.0976098131
2148	0.09760124911
2149	0.09758943626
2150	0.09754455227
2151	0.09749981953
2152	0.0974779139
2153	0.09745214323
2154	0.09743993182
2155	0.0974307056
2156	0.09739502557
2157	0.09736440409
2158	0.09732121555
2159	0.09730831039
2160	0.0972748393
2161	0.09725252457
2162	0.09722561201
2163	0.09721171877
2164	0.09719385896
2165	0.0971766063
2166	0.09714762382
2167	0.09711802574
2168	0.09708436002
2169	0.09706133165
2170	0.09704255138
2171	0.0970016066
2172	0.09699498385
2173	0.09698237843
2174	0.0969638714
2175	0.09693743296
2176	0.09693399031
2177	0.09689792109
2178	0.09687200599
2179	0.09685254658
2180	0.09682919534
2181	0.0968067724
2182	0.09679933447
2183	0.09677544075
2184	0.09675709232
2185	0.09674138368
2186	0.09672178264
2187	0.09671928839
2188	0.09668376707
2189	0.096664622
2190	0.09665125443
2191	0.09662513867
2192	0.09661472954
2193	0.09660108952
2194	0.09655879231
2195	0.09654528195
2196	0.09652462897
2197	0.09650273237
2198	0.09648434377
2199	0.09647603432
2200	0.09644757201
2201	0.09642304556
2202	0.09640488738
2203	0.09637649672
2204	0.09634486468
2205	0.09632691162
2206	0.09628972234
2207	0.09627027172
2208	0.09625017809
2209	0.09622580651
2210	0.09621928987
2211	0.0962006221
2212	0.09617617588
2213	0.09614675993
2214	0.09613691354
2215	0.09612006875
2216	0.09610958279
2217	0.09607592347
2218	0.09603737081
2219	0.09598419632
2220	0.09595530833
2221	0.0959443222
2222	0.0959209797
2223	0.09590934251
2224	0.09588934062
2225	0.09585748274
2226	0.09583709103
2227	0.095817934
2228	0.0957992528
2229	0.0957706709
2230	0.09574869127
2231	0.09572647121
2232	0.09569583948
2233	0.09567995437
2234	0.09564984007
2235	0.09560110721
2236	0.09557166799
2237	0.09555116508
2238	0.09553004202
2239	0.09551592644
2240	0.09549749448
2241	0.09546090439
2242	0.09541284987
2243	0.09538840505
2244	0.09535356167
2245	0.09533654874
2246	0.0953071821
2247	0.09526042933
2248	0.0952510363
2249	0.09523290446
2250	0.09522080745
2251	0.09521459421
2252	0.09520325193
2253	0.09518176426
2254	0.09513986744
2255	0.09512475279
2256	0.09511239423
2257	0.09509778061
2258	0.09505919061
2259	0.09498757315
2260	0.09496657574
2261	0.09495334568
2262	0.09493903388
2263	0.09492247548
2264	0.09489872383
2265	0.09487810262
2266	0.09485810451
2267	0.09482910494
2268	0.09481877472
2269	0.09481416866
2270	0.09476699706
2271	0.09475323606
2272	0.09473743101
2273	0.0947148145
2274	0.09469786817
2275	0.09468568215
2276	0.0946561161
2277	0.09464739678
2278	0.09462426098
2279	0.09460587836
2280	0.09458194912
2281	0.0945601376
2282	0.09454873511
2283	0.09450660635
2284	0.09449526511
2285	0.09448390055
2286	0.09443786565
2287	0.09441027072
2288	0.09438240111
2289	0.09435620782
2290	0.09432211875
2291	0.09427214314
2292	0.09425890464
2293	0.0942343386
2294	0.09422415738
2295	0.09419957589
2296	0.09417966376
2297	0.09415536706
2298	0.0941438538
2299	0.0941138001
2300	0.0940784825
2301	0.09405720387
2302	0.09403710319
2303	0.09400614434
